field_1,Beheertype,Ned_naam_NDFF,Wet_naam_NDFF_oud,Wet_naam_NDFF_nieuw,ndff_taxon_uri_oud,ndff_taxon_uri_nieuw,Gewijzigd,Unnamed: 0,ned_naam,wet_naam,identity,group_identity,ned_soortgroep,wet_soortgroep
"542",N06.01,Rood veenmos,Sphagnum rubellum,Sphagnum rubellum,http://ndff-ecogrid.nl/taxonomy/taxa/sphagnumrubellum,http://ndff-ecogrid.nl/taxonomy/taxa/sphagnumrubellum,NEE,"75245.0",Rood veenmos,Sphagnum rubellum,http://ndff-ecogrid.nl/taxonomy/taxa/sphagnumrubellum,http://ndff-ecogrid.nl/categories/specieslist/mosses,mossen,mosses
"543",N06.01,Ruwe bies,Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,http://ndff-ecogrid.nl/taxonomy/taxa/schoenoplectustabernaemontani,http://ndff-ecogrid.nl/taxonomy/taxa/schoenoplectustabernaemontani,NEE,"72615.0",Ruwe bies,Schoenoplectus tabernaemontani,http://ndff-ecogrid.nl/taxonomy/taxa/schoenoplectustabernaemontani,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"544",N06.01,Slank wollegras,Eriophorum gracile,Eriophorum gracile,http://ndff-ecogrid.nl/taxonomy/taxa/eriophorumgracile,http://ndff-ecogrid.nl/taxonomy/taxa/eriophorumgracile,NEE,"29985.0",Slank wollegras,Eriophorum gracile,http://ndff-ecogrid.nl/taxonomy/taxa/eriophorumgracile,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"545",N06.01,Sterzegge,Carex echinata,Carex echinata,http://ndff-ecogrid.nl/taxonomy/taxa/carexechinata,http://ndff-ecogrid.nl/taxonomy/taxa/carexechinata,NEE,"13457.0",Sterzegge,Carex echinata,http://ndff-ecogrid.nl/taxonomy/taxa/carexechinata,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"546",N06.01,Struikhei,Calluna vulgaris,Calluna vulgaris,http://ndff-ecogrid.nl/taxonomy/taxa/callunavulgaris,http://ndff-ecogrid.nl/taxonomy/taxa/callunavulgaris,NEE,"12425.0",Struikhei,Calluna vulgaris,http://ndff-ecogrid.nl/taxonomy/taxa/callunavulgaris,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"547",N06.01,Veenmosorchis,Hammarbya paludosa,Hammarbya paludosa,http://ndff-ecogrid.nl/taxonomy/taxa/hammarbyapaludosa,http://ndff-ecogrid.nl/taxonomy/taxa/hammarbyapaludosa,NEE,"36700.0",Veenmosorchis,Hammarbya paludosa,http://ndff-ecogrid.nl/taxonomy/taxa/hammarbyapaludosa,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"548",N06.01,Vleeskleurige orchis,Dactylorhiza incarnata,Dactylorhiza incarnata,http://ndff-ecogrid.nl/taxonomy/taxa/dactylorhizaincarnata,http://ndff-ecogrid.nl/taxonomy/taxa/dactylorhizaincarnata,NEE,"23591.0",Vleeskleurige orchis,Dactylorhiza incarnata,http://ndff-ecogrid.nl/taxonomy/taxa/dactylorhizaincarnata,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"549",N06.01,Waterdrieblad,Menyanthes trifoliata,Menyanthes trifoliata,http://ndff-ecogrid.nl/taxonomy/taxa/menyanthestrifoliata,http://ndff-ecogrid.nl/taxonomy/taxa/menyanthestrifoliata,NEE,"49268.0",Waterdrieblad,Menyanthes trifoliata,http://ndff-ecogrid.nl/taxonomy/taxa/menyanthestrifoliata,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"550",N06.01,Welriekende nachtorchis,Platanthera bifolia,Platanthera bifolia,http://ndff-ecogrid.nl/taxonomy/taxa/platantherabifolia,http://ndff-ecogrid.nl/taxonomy/taxa/platantherabifolia,NEE,"63760.0",Welriekende nachtorchis,Platanthera bifolia,http://ndff-ecogrid.nl/taxonomy/taxa/platantherabifolia,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"551",N06.01,Wilde gagel,Myrica gale,Myrica gale,http://ndff-ecogrid.nl/taxonomy/taxa/myricagale,http://ndff-ecogrid.nl/taxonomy/taxa/myricagale,NEE,"52479.0",Wilde gagel,Myrica gale,http://ndff-ecogrid.nl/taxonomy/taxa/myricagale,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"552",N06.01,zilveren maan,Boloria selene,Boloria selene,http://ndff-ecogrid.nl/taxonomy/taxa/boloriaselene,http://ndff-ecogrid.nl/taxonomy/taxa/boloriaselene,NEE,"10302.0",Zilveren maan,Boloria selene,http://ndff-ecogrid.nl/taxonomy/taxa/boloriaselene,http://ndff-ecogrid.nl/categories/specieslist/butterflies,dagvlinders,butterflies
"553",N06.02,Blonde zegge,Carex hostiana,Carex hostiana,http://ndff-ecogrid.nl/taxonomy/taxa/carexhostiana,http://ndff-ecogrid.nl/taxonomy/taxa/carexhostiana,NEE,"13467.0",Blonde zegge,Carex hostiana,http://ndff-ecogrid.nl/taxonomy/taxa/carexhostiana,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
